2023-02-05 22:09:19,627 p=24272 u=kal n=ansible | PLAY [localhost] ************************************************************************
2023-02-05 22:09:19,636 p=24272 u=kal n=ansible | TASK [Gathering Facts] ******************************************************************
2023-02-05 22:09:22,493 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:22,517 p=24272 u=kal n=ansible | TASK [Install shell utilities w/ apt] ***************************************************
2023-02-05 22:09:23,953 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:23,963 p=24272 u=kal n=ansible | TASK [Ensure the user has a zsh shell.] *************************************************
2023-02-05 22:09:24,249 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:24,259 p=24272 u=kal n=ansible | TASK [Download default .zshrc] **********************************************************
2023-02-05 22:09:24,707 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:24,740 p=24272 u=kal n=ansible | TASK [Install shell utilities w/ apt] ***************************************************
2023-02-05 22:09:26,079 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:26,090 p=24272 u=kal n=ansible | TASK [Install other utilities (wget, curl, git, etc.)] **********************************
2023-02-05 22:09:27,433 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:27,443 p=24272 u=kal n=ansible | TASK [Install require packages like gcc, make, cmake, etc] ******************************
2023-02-05 22:09:28,769 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:28,780 p=24272 u=kal n=ansible | TASK [Set environment managers (direnv, npm, conda)] ************************************
2023-02-05 22:09:30,119 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:30,130 p=24272 u=kal n=ansible | TASK [Install NVM] **********************************************************************
2023-02-05 22:09:30,361 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:30,370 p=24272 u=kal n=ansible | TASK [Install utilities (htop, tree, pstree, etc.)] *************************************
2023-02-05 22:09:31,710 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:31,720 p=24272 u=kal n=ansible | TASK [Install VM techs] *****************************************************************
2023-02-05 22:09:33,047 p=24272 u=kal n=ansible | ok: [krpz]
2023-02-05 22:09:33,057 p=24272 u=kal n=ansible | TASK [Install Rust] *********************************************************************
